test_year,model,OvR_AUC,F1_weighted,Rank_IC
2021,RF,0.5676947316550878,0.4247837083013658,-0.19327590961987143
2021,GBDT,0.5630150156926099,0.4904609822694628,-0.13230201132793654
2021,XGB,0.56652782911216,0.48782350407899655,-0.15055383512452244
2021,LGBM,0.5452157633980834,0.4356492163830985,-0.12699105307273098
2022,RF,0.5407276054272606,0.2890188234159364,-0.06455971577864189
2022,GBDT,0.515183932976802,0.30513226836599583,-0.03684847141222041
2022,XGB,0.5163027933737773,0.3044622374247561,-0.035997063956443615
2022,LGBM,0.5261111736618161,0.3167800264717548,-0.04362937583828349
2023,RF,0.5851182888873168,0.42804588122060255,-0.10640809358149404
2023,GBDT,0.5717935156274169,0.47362633775009416,-0.08730619675557513
2023,XGB,0.5762406857128972,0.47031836628462464,-0.10296096844910543
2023,LGBM,0.5578481457136195,0.4289207782049029,-0.09239026587324292
2024,RF,0.6108803532679992,0.48433732465456014,-0.10408308795311233
2024,GBDT,0.6001402714817187,0.4975635133925698,-0.10779921851443135
2024,XGB,0.6031484966032454,0.4938833066464137,-0.1014652389661263
2024,LGBM,0.5797898030053122,0.45924067668428986,-0.07535288836904647
2025,RF,0.5775313127571347,0.4110627406692005,-0.0741293236968059
2025,GBDT,0.5746827780943349,0.5150516938742401,-0.09019416878368545
2025,XGB,0.5714884636705064,0.5130524020931485,-0.08851806498275637
2025,LGBM,0.5655859325795785,0.4255027535452425,-0.0750186998881541
